PaymentID,BookingID,PaymentDate,AmountPaid,PaymentStatus
1,1,2025-06-29,8740,Paid
2,2,2025-02-03,11780,Pending
3,3,2025-02-01,2836,Paid
4,4,2025-03-04,5255,Pending
5,5,2024-11-20,10440,Pending
6,6,2025-05-01,3272,Cancelled
7,7,2025-01-03,2979,Cancelled
8,8,2024-12-13,8835,Cancelled
9,9,2025-02-03,13110,Pending
10,10,2024-11-13,9972,Paid
11,11,2025-07-08,6470,Cancelled
12,12,2025-08-06,6603,Paid
13,13,2025-02-23,7005,Pending
14,14,2025-04-18,3726,Pending
15,15,2025-08-05,3272,Pending
16,16,2025-08-08,2654,Pending
17,17,2024-12-27,559,Pending
18,18,2024-12-25,3825,Cancelled
19,19,2025-01-15,9340,Pending
20,20,2025-01-20,4204,Pending
21,21,2025-01-30,2466,Paid
22,22,2025-08-04,2236,Cancelled
23,23,2025-05-06,10496,Paid
24,24,2025-03-23,6603,Paid
25,25,2025-04-04,5248,Cancelled
26,26,2025-08-28,2169,Cancelled
27,27,2025-02-07,690,Cancelled
28,28,2025-04-12,4986,Paid
29,29,2025-08-26,5338,Paid
30,30,2025-09-12,13120,Paid
31,31,2025-01-29,11504,Paid
32,32,2024-12-24,2124,Cancelled
33,33,2025-03-04,777,Cancelled
34,34,2025-06-06,6033,Paid
35,35,2024-11-23,8044,Pending
36,36,2025-04-20,11425,Pending
37,37,2025-05-25,5255,Cancelled
38,38,2025-06-18,6992,Paid
39,39,2025-01-25,1729,Cancelled
40,40,2025-08-06,7053,Cancelled
41,41,2025-09-06,3464,Cancelled
42,42,2024-10-14,5244,Paid
43,43,2025-09-23,7962,Cancelled
44,44,2025-08-01,6860,Pending
45,45,2024-12-07,8660,Paid
46,46,2025-02-28,10455,Cancelled
47,47,2024-11-19,4702,Paid
48,48,2024-10-21,1336,Cancelled
49,49,2025-06-17,2454,Cancelled
50,50,2025-06-11,4570,Pending
